"Land","Korrelation"
"COL",0.990663365422171
"CHE",0.980001767375747
"CHL",0.97855140532052
"CRI",0.962291983340424
"AUS",0.959247443394507
"POL",0.95518612218489
"NZL",0.954458697629737
"JPN",0.94716114056237
"CAN",0.941122567104834
"BEL",0.940724163710698
"FIN",0.936536690606058
"SVK",0.93356313854532
"SVN",0.922774002226051
"KOR",0.919008255129824
"CZE",0.917218993576312
"AUT",0.916493626376565
"LVA",0.904977424155476
"LTU",0.90002955002185
"TUR",0.899638042241897
"DEU",0.896454926219279
"PRT",0.89452008916685
"ISR",0.890817216806455
"SWE",0.882310024100833
"MEX",0.880472854530121
"EST",0.876051619372295
"USA",0.872057990823752
"ITA",0.870317531291104
"HUN",0.869422241529489
"NOR",0.865342096803237
"FRA",0.850576263542035
"DNK",0.835066372078306
"ESP",0.834832662865314
"GBR",0.825821606258546
"BRA",0.820395340154616
"LUX",0.802622406013952
"NLD",0.697280855791269
"IRL",0.609332498967404
"ISL",0.577733178278777
"GRC",0.286501172145782
