"";"LOCATION";"TIME";"App_price"
"1";"USA";2023;18,9
"2";"LUX";2024;14,67
"3";"CHE";2024;14,07
"4";"AUT";2024;12,76
"5";"NOR";2024;12,68
"6";"ISL";2024;12,59
"7";"DEU";2024;12,1
"8";"CAN";2024;11,67
"9";"GBR";2024;11,59
"10";"AUS";2023;11,51
"11";"BEL";2024;11,5
"12";"NLD";2024;11
"13";"FIN";2024;10,97
"14";"ITA";2024;10,87
"15";"DNK";2024;10,66
"16";"FRA";2024;10,52
"17";"SWE";2024;10,45
"18";"NZL";2023;10,08
"19";"LTU";2024;9,82
"20";"ESP";2024;9,22
"21";"IRL";2024;9,2
"22";"PRT";2024;9,17
"23";"SVN";2024;8,92
"24";"POL";2024;8,87
"25";"JPN";2023;8,76
"26";"ISR";2024;8,74
"27";"GRC";2024;8,67
"28";"LVA";2024;8,36
"29";"KOR";2024;8,2
"30";"TUR";2024;8,11
"31";"EST";2024;7,84
"32";"CZE";2024;7,77
"33";"SVK";2024;7,48
"34";"HUN";2024;7,28
"35";"CHL";2024;6,61
"36";"CRI";2024;5,75
"37";"RUS";2020;5,61
"38";"MEX";2023;4,73
"39";"COL";2023;4,33
"40";"BRA";2022;4,24
"41";"ZAF";2021;3,63
"42";"CHN";2021;2,98
"43";"IDN";2021;2,7
"44";"IND";2020;1,73
